route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
81738,UOV,111,Vleuten - Kasteel De Haar,,3,ffe600,000000,
67394,IFF:NS,Intercity,Den Haag Centraal <-> Eindhoven Centraal IC1100,,2,,,
67395,IFF:NS,Intercity,Nachtnettrein Rotterdam Centraal <-> Eindhoven Centraal,,2,,,
67396,IFF:RNET,Stopbus i.p.v. trein,Stopbus i.p.v. trein Dordrecht <-> Geldermalsen,,3,,,
71399,BRAVO:CXX,20,Veldhoven MMC - Airport - Best Station,,3,,,
80114,QBUZZ,701,Sliedrecht - Ottoland - Gorinchem,,3,e1dc14,000000,
76325,SYNTUS:UT,58,Hilversum - Zeist via Maartensdijk,,3,,,
76348,SYNTUS:UT,5,Woerden - Montfoort,,3,,,
84153,SYNTUS:UT,50,U-link Utrecht - Wageningen / Veenendaal,,3,ED1C29,000000,
84154,ALLGO,322,Lijn 322 Parkwijk - Amstel,,3,E00713,ffffff,
84155,ALLGO,326,Lijn 326 Almere Stad - Blaricum,,3,E00713,ffffff,
84156,ALLGO,327,Lijn 327 Haven - Amstel,,3,E00713,ffffff,
84157,ALLGO,330,Lijn 330 Almere Buiten - A'dam Bijlmer Arena,,3,E00713,ffffff,
84167,ALLGO,M8,Lijn M8 CS - Nobelhorst,,3,CDD500,000000,
88080,RET,25,Carnisselande - Maashaven,,0,,,
76007,QBUZZ,92,Rotterdam Zuidplein - H.I. Ambacht - Dordrecht,,3,50af46,ffffff,
84169,ALLGO,24,Lijn 24 Station Poort - Duin,,3,858C96,000000,
84168,ALLGO,22,Lijn 22 Station Buiten - De Vaart,,3,858C96,000000,
81946,QBUZZ,23,Parkeerpendel Weeskinderendijk P+R - Centrum,,3,50af46,000000,
81947,UOV,20,Science Park - Utrecht CS - Nieuwegein,,0,e98300,000000,
81948,UOV,21,Science Park - Utrecht CS - IJsselstein,,0,e98300,000000,
83326,QBUZZ,134,Zuidwolde - Meppel,,3,,,
73733,CXX,647,Domburg - Krabbendijke,,3,,,
79827,CXX,N47,Uithoorn Busstation - Amsterdam CS,,3,ffcc00,000000,
79828,CXX,N57,Aalsmeer Busstation - Amsterdam CS,,3,ffcc00,000000,
84161,ALLGO,M2,Lijn M2 CS - Stripheldenbuurt,,3,0BA13B,000000,
67410,IFF:NS,Stopbus i.p.v. trein,Stopbus i.p.v. trein Amersfoort Centraal <-> Hilversum,,3,,,
73730,CXX,643,St.Annaland - Goes,,3,,,
83329,QBUZZ,71,Emmen - Ter Apel - Veendam,,3,,,
83320,UOV,90,Vianen - Ameide,,3,ffe600,000000,
84162,ALLGO,M3,Lijn M3 CS - Muziekwijk,,3,E00713,ffffff,
84163,ALLGO,M4,Lijn M4 CS - Almere Poort,,3,FDC300,000000,
83321,QBUZZ,6,Gorinchem Station - Avelingen,,3,50af46,ffffff,
83319,UOV,22,Science Park - Utrecht CS,,0,e98300,000000,
