from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type
2511183,2511184,,,179431596,176966317,0
2512439,2512440,,,177612988,176960843,0
2512439,2512440,,,177612988,176960844,0
2512141,2512144,,,176963667,177612823,0
2512141,2512144,,,176963667,179802557,0
2511183,2511184,,,176963667,176966293,0
2511608,2511607,,,176963521,179800183,0
2510507,2510515,,,176968954,176966796,0
2510516,2510507,,,176967846,176968846,0
2512034,2512031,,,179792250,176973528,0
2511448,2511445,,,176960691,176962712,0
2510738,2510737,,,179804381,179793951,0
2510926,2510925,,,178259184,179172251,0
2512473,2512470,,,177608374,176960401,0
2511979,2511981,,,180055795,180032925,0
2511004,2511005,,,176959721,177618203,0
2510158,2510161,,,180059593,180050402,0
2510629,2510627,,,180059593,180048604,0
2510230,2510231,,,180051146,180038006,0
2511014,2511013,,,176971075,176962379,0
2510231,2510231,,,176966171,179797289,0
2512470,2512463,,,176960651,176962214,0
2511274,2511276,,,176961722,176961931,0
2510901,2510905,,,179820718,176958422,0
2511904,2511902,,,180038995,179793136,0
2511004,2511005,,,180038995,176966923,0
2511004,2511003,,,180038995,177619025,0
2510146,2510145,,,180047401,180046078,0
2510628,2510629,,,178255572,176969401,0
2510055,2510054,,,176971144,179795630,0
2510520,2510512,,,177609590,176965032,0
2512134,2512131,,,176962426,176960435,0
2510901,2510908,,,176962426,179428047,0
2510908,2510899,,,176971143,176957873,0
2510901,2510905,,,176971097,177600398,0
2510055,2510054,,,176971097,179426579,0
2511981,2511979,,,179793773,179795803,0
2511896,2511897,,,180062022,177458793,0
2512148,2512144,,,176970555,176960236,0
2510226,2510227,,,176963803,177615025,0
2512439,2512440,,,176963803,177615025,0
2511981,2511979,,,179424764,179443900,0
2510726,2510729,,,176965991,179423690,0
2511592,2511592,,,178260639,178236365,0
2511981,2511979,,,179806814,180037084,0
2510229,2510231,,,179800233,179797171,0
2510229,2510227,,,179800233,179802762,0
2512257,2512252,,,176973202,176964977,0
2512440,2512439,,,179191060,178246827,1
2510179,2510174,,,176960870,180039388,0
2512141,2512144,,,176960870,176964323,0
2512440,2512439,,,176965556,180044635,1
2510146,2510145,,,176965556,178248405,0
